2024-03-04 14:05:04,275 INFO    StreamThr :2763271 [internal.py:wandb_internal():86] W&B internal server running at pid: 2763271, started at: 2024-03-04 14:05:04.275281
2024-03-04 14:05:04,276 DEBUG   HandlerThread:2763271 [handler.py:handle_request():146] handle_request: status
2024-03-04 14:05:04,277 INFO    WriterThread:2763271 [datastore.py:open_for_write():87] open: /cephyr/users/aeerik/Alvis/base/wandb/run-20240304_140504-7p9919s6/run-7p9919s6.wandb
2024-03-04 14:05:04,280 DEBUG   SenderThread:2763271 [sender.py:send():382] send: header
2024-03-04 14:05:04,739 DEBUG   SenderThread:2763271 [sender.py:send():382] send: run
2024-03-04 14:05:05,183 INFO    SenderThread:2763271 [dir_watcher.py:__init__():211] watching files in: /cephyr/users/aeerik/Alvis/base/wandb/run-20240304_140504-7p9919s6/files
2024-03-04 14:05:05,183 INFO    SenderThread:2763271 [sender.py:_start_run_threads():1136] run started: 7p9919s6 with start time 1709557504.2756
2024-03-04 14:05:05,189 DEBUG   HandlerThread:2763271 [handler.py:handle_request():146] handle_request: check_version
2024-03-04 14:05:05,189 DEBUG   SenderThread:2763271 [sender.py:send_request():409] send_request: check_version
2024-03-04 14:05:05,278 DEBUG   HandlerThread:2763271 [handler.py:handle_request():146] handle_request: run_start
2024-03-04 14:05:05,295 DEBUG   HandlerThread:2763271 [system_info.py:__init__():27] System info init
2024-03-04 14:05:05,295 DEBUG   HandlerThread:2763271 [system_info.py:__init__():42] System info init done
2024-03-04 14:05:05,295 INFO    HandlerThread:2763271 [system_monitor.py:start():194] Starting system monitor
2024-03-04 14:05:05,295 INFO    SystemMonitor:2763271 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-04 14:05:05,295 INFO    HandlerThread:2763271 [system_monitor.py:probe():214] Collecting system info
2024-03-04 14:05:05,296 INFO    SystemMonitor:2763271 [interfaces.py:start():190] Started cpu monitoring
2024-03-04 14:05:05,296 INFO    SystemMonitor:2763271 [interfaces.py:start():190] Started disk monitoring
2024-03-04 14:05:05,297 INFO    SystemMonitor:2763271 [interfaces.py:start():190] Started gpu monitoring
2024-03-04 14:05:05,298 INFO    SystemMonitor:2763271 [interfaces.py:start():190] Started memory monitoring
